Index,Book Name,Author,Rating,Number of Votes,Score,Image
645,"Written in the Stars (Written in the Stars, #1)",Alexandria Bellefleur,3.86,"56,645",181,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
646,"Triple Cross (Alex Cross, #30)",James Patterson,4.38,"27,654",181,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
647,"The Running Grave (Cormoran Strike, #7)",Robert Galbraith,4.6,"84,800",181,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
648,"Crook Manifesto (Ray Carney, #2)",Colson Whitehead,3.88,"16,431",181,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
649,Children of Ash and Elm: A History of the Vikings,Neil Price,4.18,"6,836",180,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
650,A Very Stable Genius: Donald J. Trump's Testing of America,Philip Rucker,4.1,"12,422",180,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
651,"Axiom's End (Noumena, #1)",Lindsay Ellis,3.72,"25,819",180,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
652,Ten Steps to Nanette,Hannah Gadsby,4.47,"15,134",180,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
653,Two Nights in Lisbon,Chris Pavone,3.72,"33,672",180,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
654,The Book of Accidents,Chuck Wendig,3.73,"24,660",180,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
655,Monstrilio,Gerardo Sámano Córdova,4.14,"18,299",180,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
656,Rednecks,Taylor Brown,3.86,"1,386",180,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
657,Profiles in Ignorance: How America's Politicians Got Dumb and Dumber,Andy Borowitz,4.35,"4,196",180,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
658,Broken,Jenny Lawson,4.03,"43,477",179,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
659,"The Relentless Moon (Lady Astronaut Universe, #3)",Mary Robinette Kowal,4.35,"8,780",179,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
660,"The Lords of Night (Shadow Bruja, #1)",J.C. Cervantes,4.21,670,179,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
661,"Victory at Prescott High (The Havoc Boys, #5)",C.M. Stunich,4.36,"13,348",178,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
662,Absolution,Alice McDermott,3.8,"20,615",178,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
663,"The Dating Plan (Marriage Game, #2)",Sara Desai,3.63,"44,886",177,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
664,"The Grief of Stones (The Cemeteries of Amalo, #2)",Katherine Addison,4.31,"5,760",177,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
665,River Sing Me Home,Eleanor Shearer,4,"26,069",177,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
666,"Emerald Blaze (Hidden Legacy, #5)",Ilona Andrews,4.45,"25,766",177,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
667,Honor,Thrity Umrigar,4.36,"62,162",177,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
668,The Age of Witches,Louisa Morgan,3.92,"7,867",176,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
669,"The Dark Archive (The Invisible Library, #7)",Genevieve Cogman,4.19,"8,790",176,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
670,I Hate Men,Pauline Harmange,3.82,"12,376",176,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
671,Entitled: How Male Privilege Hurts Women,Kate Manne,4.21,"5,054",176,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
672,Lore,Alexandra Bracken,3.75,"97,762",176,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
673,In Ascension,Martin MacInnes,3.79,"9,035",176,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
674,"The Hunter (Cal Hooper, #2)",Tana French,4.11,"40,812",176,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
675,Bittersweet: How Sorrow and Longing Make Us Whole,Susan Cain,3.97,"22,573",175,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
676,Never Lie,Freida McFadden,4.09,"817,211",175,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
677,Who Is Maud Dixon?,Alexandra Andrews,3.83,"38,275",174,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
678,The Lies I Tell,Julie Clark,4.1,"80,997",174,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
679,Something Wilder,Christina Lauren,3.66,"126,646",174,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
680,"Lore Olympus: Volume Five (Lore Olympus, #5)",Rachel Smythe,4.47,"22,973",174,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
681,"Daisy Haites (Magnolia Parks Universe, #2)",Jessa Hastings,4.11,"81,067",174,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
682,Strange Sally Diamond,Liz Nugent,4.19,"97,084",174,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
683,Go the Distance,Jen Calonita,4.04,"13,161",174,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
684,Can the Monster Speak? A Report to an Academy of Psychoanalysts,Paul B. Preciado,4.26,"3,267",173,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
685,"Hench (Hench, #1)",Natalie Zina Walschots,4.02,"24,161",173,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
686,Miss Benson's Beetle,Rachel Joyce,4.08,"52,857",173,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
687,Medusa,Jessie Burton,3.86,"19,112",173,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
688,Rock Paper Scissors,Alice Feeney,3.91,"495,987",172,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
689,Ejaculate Responsibly: A Whole New Way to Think About Abortion,Gabrielle Stanley Blair,4.51,"8,392",171,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
690,"The Undertaking of Hart and Mercy (Hart and Mercy, #1)",Megan Bannen,4.09,"35,800",171,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
691,Mothered,Zoje Stage,3.31,"10,792",171,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
692,"22 Seconds (Women’s Murder Club, #22)",James Patterson,4.1,"34,078",171,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
693,"The Forgotten Kingdom (The Lost Queen, #2)",Signe Pike,4.4,"5,113",171,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
694,"Sword Catcher (The Chronicles of Castellane, #1)",Cassandra Clare,3.8,"30,864",171,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
695,Big Friendship: How We Keep Each Other Close,Aminatou Sow,3.75,"24,143",170,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
696,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,3.88,"305,439",170,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
697,Heart Bones,Colleen Hoover,4.23,"579,596",170,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
698,The Familiar,Leigh Bardugo,3.81,"70,676",170,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
699,The Chief Witness: escape from China’s modern-day concentration camps,Sayragul Sauytbay,4.56,820,169,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
700,Trust: America's Best Chance,Pete Buttigieg,4.14,"4,833",169,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
701,The Mermaid of Black Conch,Monique Roffey,3.88,"17,830",169,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
702,"Made in China: A Prisoner, an SOS Letter, and the Hidden Cost of America's Cheap Goods",Amelia Pang,4.36,"2,029",168,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
703,Peril,Bob Woodward,4.09,"19,237",168,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
704,"School Trip (New Kid, #3)",Jerry Craft,4.2,"3,511",168,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
705,"Iron Heart (Crier's War, #2)",Nina Varela,4.25,"23,797",168,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
706,"Three Sisters (The Tattooist of Auschwitz, #3)",Heather Morris,4.37,"75,858",168,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
707,Outlive: The Science & Art of Longevity,Peter Attia,4.37,"62,118",168,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
708,In an Instant,Suzanne Redfearn,4.35,"97,148",167,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
709,The Eagle's Claw,Jeff Shaara,4.35,"3,186",167,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
710,Soulswift,Megan Bannen,3.96,"1,434",167,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
711,The Perfect World of Miwako Sumida,Clarissa Goenawan,3.83,"4,079",166,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
712,"Blood & Honey (Serpent & Dove, #2)",Shelby Mahurin,3.52,"125,654",166,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
713,The Holiday Swap,Maggie Knox,3.58,"61,205",166,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
714,"Foul Heart Huntsman (Foul Lady Fortune, #2)",Chloe Gong,4.35,"10,739",166,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
715,"Really Good, Actually",Monica Heisey,3.15,"94,482",165,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
716,"21st Birthday (Women's Murder Club, #21)",James Patterson,4.17,"37,491",165,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
717,Easy Crafts for the Insane: A Mostly Funny Memoir of Mental Illness and Making Things,Kelly Williams Brown,3.81,"1,421",164,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
718,"Kingdom of the Cursed (Kingdom of the Wicked, #2)",Kerri Maniscalco,4.11,"183,210",164,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
719,These Silent Woods,Kimi Cunningham Grant,4.06,"83,881",164,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
720,The Heartstopper Yearbook,Alice Oseman,4.4,"27,720",164,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
721,"City Spies (City Spies, #1)",James Ponti,4.31,"11,922",164,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
722,"Reckless (Chestnut Springs, #4)",Elsie Silver,4.38,"228,338",164,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
723,"Foul Lady Fortune (Foul Lady Fortune, #1)",Chloe Gong,4.23,"27,199",164,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
724,Dragon Hoops,Gene Luen Yang,4.33,"8,827",163,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
725,What Comes After,JoAnne Tompkins,3.77,"28,251",162,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
726,"Kate (Madison Kate, #4)",Tate James,4.38,"40,767",162,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
727,"Find Me (WITSEC, #1)",Ashley N. Rostek,4.35,"29,810",162,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
728,Haven,Emma Donoghue,3.42,"10,150",162,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
729,"Our Last Days in Barcelona (The Perez Family, #5)",Chanel Cleeton,4.12,"13,144",162,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
730,"Unsettled: What Climate Science Tells Us, What It Doesn’t, and Why It Matters",Steven E. Koonin,4.26,"3,388",161,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
731,One Damn Thing After Another: Memoirs of an Attorney General,William P. Barr,4.01,"2,334",161,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
732,"Again, Rachel (Walsh Family, #6)",Marian Keyes,4.29,"26,120",161,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
733,Betting on You,Lynn Painter,4.1,"77,596",161,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
734,The Last Voyage of the Andrea Doria: The Sinking of the World's Most Glamorous Ship,Greg King,3.94,492,160,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
735,Everything Beautiful in Its Time: Seasons of Love and Loss,Jenna Bush Hager,4.27,"12,904",160,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
736,The Bear,Andrew Krivak,3.9,"10,082",160,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
737,The 20th Victim (Women's Murder Club #20),James Patterson,4.07,"32,450",160,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
738,Lies and Weddings,Kevin Kwan,3.8,"27,446",160,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
739,Beyond Order: 12 More Rules For Life,Jordan B. Peterson,4.17,"26,280",159,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
740,The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee,4.28,"12,074",159,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
741,Iona Iverson's Rules for Commuting,Clare Pooley,4.19,"59,091",159,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
742,The Girl in White Gloves,Kerri Maher,3.7,"2,738",158,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
743,Band of Sisters,Lauren Willig,4.07,"10,986",158,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
744,"The Dragon's Bride (A Deal With a Demon, #1)",Katee Robert,3.66,"40,421",158,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
745,Eden Mine,S.M. Hulse,4.01,"1,067",157,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
746,"Lords of Wrath (Royals of Forsyth University, #2)",Angel Lawson,4.18,"28,927",157,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
747,My Killer Vacation,Tessa Bailey,3.61,"128,259",157,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
748,"Isn't It Bromantic? (Bromance Book Club, #4)",Lyssa Kay Adams,4.03,"33,880",157,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
749,Wandering Souls,Cecile Pin,4.15,"13,053",157,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
750,Those Empty Eyes,Charlie Donlea,4.19,"43,653",157,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
751,A Shining,Jon Fosse,3.49,"7,904",157,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
752,Wandering Stars,Tommy Orange,3.88,"20,294",157,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
753,Personal Effects: What Recovering the Dead Teaches Me About Caring for the Living,Robert A. Jensen,3.83,"1,375",156,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
754,When the Stars Go Dark,Paula McLain,3.85,"58,113",156,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
755,Girls That Never Die: Poems,Safia Elhillo,4.3,"1,281",156,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
756,The Christie Affair,Nina de Gramont,3.72,"86,477",156,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
757,The Paris Apartment,Lucy Foley,3.65,"587,147",156,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
758,All the Quiet Places,Brian Thomas Isaac,3.85,"2,398",155,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
759,"When in Rome (When in Rome, #1)",Sarah Adams,3.9,"139,021",155,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
760,I Left The House Today!,Cassandra Calin,4.03,"3,894",154,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
761,The Book of Cold Cases,Simone St. James,3.78,"118,177",154,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
762,The River of Silver: Tales from the Daevabad Trilogy,S.A. Chakraborty,4.29,"9,288",154,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
763,The End of the Day,Bill Clegg,3.2,"2,446",153,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
764,"The Year of the Witching (Bethel, #1)",Alexis Henderson,3.81,"40,073",153,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
765,The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,3.84,"12,529",153,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
766,"Liar (Madison Kate, #2)",Tate James,4.35,"46,795",152,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
767,The Other Black Girl,Zakiya Dalila Harris,3.36,"79,801",152,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
768,A Billion Years: My Escape From a Life in the Highest Ranks of Scientology,Mike Rinder,4.31,"6,459",152,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
769,Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,Jessie Inchauspé,4.43,"33,279",152,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
770,"Breakaway (Beyond the Play, #2)",Grace Reilly,3.81,"52,450",152,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
771,A Cat Story,Ursula Murray Husted,3.79,"1,238",151,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
772,Once Upon a Wardrobe,Patti Callahan Henry,4.35,"23,011",151,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
773,Just Like You,Nick Hornby,3.36,"23,221",150,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
774,Darling Girls,Sally Hepworth,4.03,"120,146",150,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
775,"Fake (Madison Kate, #3)",Tate James,4.37,"43,639",149,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
776,Two Wrongs Make a Right (The Wilmot Sisters #1),Chloe Liese,3.8,"33,693",149,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
777,Under The Great Elm: A Life of Luck & Wonder,Rich Flanders,4.67,51,148,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
778,"Wildfire (Maple Hills, #2)",Hannah Grace,3.86,"319,869",148,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
779,Someone Else's Shoes,Jojo Moyes,3.96,"204,768",148,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
780,The True Love Experiment,Christina Lauren,4.1,"150,669",147,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
781,"Her Majesty's Royal Coven (Her Majesty's Royal Coven, #1)",Juno Dawson,3.84,"26,378",147,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
782,"First Down (Beyond the Play, #1)",Grace Reilly,3.66,"64,818",147,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
783,Indians on Vacation,Thomas King,3.77,"7,212",146,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
784,Wandering in Strange Lands: A Daughter of the Great Migration Reclaims Her Roots,Morgan Jerkins,"really liked it
4.00","2,063",146,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
785,Slewfoot: A Tale of Bewitchery,Brom,4.28,"43,929",146,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
786,"Defy or Defend (Delightfully Deadly, #2)",Gail Carriger,4.24,"2,700",146,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
787,The Wake-Up Call,Beth O'Leary,3.57,"36,703",146,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
788,We Were Dreamers: An Immigrant Superhero Origin Story,Simu Liu,4.35,"27,657",146,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
789,The Good Sister,Sally Hepworth,4.16,"198,290",145,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
790,"Hate (Madison Kate, #1)",Tate James,4.2,"54,417",145,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
791,"Bombshell (Hell's Belles, #1)",Sarah MacLean,3.79,"14,090",144,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
792,"Sparring Partners (Jake Brigance, #4)",John Grisham,3.76,"47,463",144,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
793,Bad Cruz,L.J. Shen,4.02,"24,297",144,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
794,Every Summer After,Carley Fortune,4.2,"614,038",144,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
795,Funny Story,Emily Henry,4.25,"645,422",144,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
796,Liberation Day,George Saunders,3.99,"13,538",144,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
797,Once Upon an Eid,S.K. Ali,4.23,"4,415",143,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
798,"The Empire of Dreams (Fire and Thorns, #4)",Rae Carson,4.13,"2,905",143,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
799,A Good Marriage,Kimberly McCreight,3.9,"57,886",143,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
800,The Book of V.,Anna Solomon,3.32,"5,507",143,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
801,Where the Line Breaks,Michael Burrows,4.33,33,143,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
802,Greta & Valdin,Rebecca K. Reilly,4.04,"12,485",143,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
803,"Kill Order (The Guild, #3)",Tate James,4.46,"9,578",143,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
804,Death in Her Hands,Ottessa Moshfegh,3.24,"45,571",142,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
805,New from Here,Kelly Yang,4.3,"4,180",142,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
806,"The Night Country (The Hazel Wood, #2)",Melissa Albert,3.71,"18,808",142,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
807,The House of Kennedy,James Patterson,3.9,"12,506",141,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
