Index,Book Name,Author,Rating,Number of Votes,Score,Image
1478,"The Shadow of the Gods (The Bloodsworn Saga, #1)",John Gwynne,4.22,"51,974",90,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
1479,So This is Love,Elizabeth Lim,4.08,"16,388",90,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
1480,Paved Paradise: How Parking Explains the World,Henry Grabar,4.2,"3,622",90,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
1481,The Glass House,Eve Chase,3.98,"21,992",89,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
1482,Most Likely,Sarah Watson,3.9,"4,118",89,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
1483,"Katheryn Howard: the Scandalous Queen (Six Tudor Queens, #5)",Alison Weir,4.09,"6,166",89,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1484,Δανδής και ονειροπόλος,Υπερρεαλιστική Ομάδα Θεσσαλονίκης,4.33,3,89,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
1485,"Execution in E (Gethsemane Brown Mysteries, #5)",Alexia Gordon,3.99,579,89,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1486,"The Making of a Highlander (Midnight in Scotland, #1)",Elisa Braden,4.26,"3,548",89,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
1487,Intimations,Zadie Smith,3.99,"27,494",89,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
1488,In Sensorium: Notes for My People,Tanaïs,4.14,334,89,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
